0,Tare Zameen Foundation,Fundraising,Work From Home,1 Month,"1,000 /month +  Incentives",18 Aug' 22
,H K Dreams Productions Private Limited,Business Development (Sales),Delhi,3 Months,"10,000 /month",30 Aug' 22
2,Internshala Trainings,Content Writing,Gurgaon,6 Months,"20,000 /month",31 Aug' 22
3,Hamari Pahchan NGO,Operations,Work From Home,1 Month,Unpaid,5 Sep' 22
4,Childo Education Research And Development Foundation,Volunteering (Fundraising),Work From Home,2 Weeks,Unpaid,12 Aug' 22
5,Urban Company,Business Development (Sales),Bangalore,3 Months,"20,000-25,000 /month",20 Aug' 22
6,BYJU'S - The Learning App,Marketing,Jabalpur,3 Months,"18,000 /month",20 Aug' 22
7,Vistara,Human Resources (HR),Gurgaon,6 Months,"10,000 /month",21 Aug' 22
8,Aam Aadmi Party,Media & Public Relations (PR),Work From Home,3 Months,Unpaid,21 Aug' 22
9,FirstCry.com,Business Development (Sales),Bangalore,6 Months,"18,000-20,000 /month",20 Aug' 22
10,Dainik Bhaskar Group,Business Development (Sales),Ajmer,1 Month,"8,000-10,000 /month",20 Aug' 22
11,WWF-India,Fundraising,Delhi,3 Months,"20,000 /month",20 Aug' 22
12,Deutsche Gesellschaft Für Internationale Zusammenarbeit (GIZ) GmbH,Communications,Delhi,6 Months,"23,000 /month",19 Aug' 22
13,Archies Lifestyle,Photography,Delhi,3 Months,"15,000 /month",19 Aug' 22
14,Times Of India,Digital Marketing,Mumbai,3 Months,"5,000 /month",19 Aug' 22
15,Think & Learn Private Limited (BYJU'S),Marketing,Surat,2 Months,"18,000 /month",20 Aug' 22
16,Think & Learn Private Limited (BYJU'S),Marketing,Ahmedabad,2 Months,"18,000 /month",20 Aug' 22
17,SBI Funds Management Limited,Social Media Marketing,Kota,3 Months,"2,000 /month",19 Aug' 22
18,SBI Funds Management Limited,Graphic Design,Kota,3 Months,"2,000 /month",19 Aug' 22
19,Times Group,Business Development (Sales),Work From Home,6 Weeks,"1,000-4,000 /month",20 Aug' 22
20,Titan Company Limited,Quality Assurance,Hosur,6 Months,"25,000 /month",19 Aug' 22
21,Aditya Birla Capital,Business Development (Sales),Kolkata,3 Months,"2,000-4,000 /month",19 Aug' 22
22,Urban Company,Business Development (Sales),Mumbai,5 Months,"18,000 /month",19 Aug' 22
23,Bewakoof,Social Media Marketing,Bangalore,3 Months,"10,000 /month",19 Aug' 22
24,UpGrad (UpGrad Education Private Limited),Graphic Design,Bangalore,3 Months,"15,000 /month",19 Aug' 22
25,BYJU'S The Learning App,Marketing,Rayagada,3 Months,"20,000 /month",19 Aug' 22
26,Devyani International Limited,Human Resources (HR),Gurgaon,2 Months,"5,000 /month",19 Aug' 22
27,UpGrad (UpGrad Education Private Limited),Business Development (Sales),Surat,2 Months,"12,000 /month",19 Aug' 22
28,Nykaa Fashion,Marketing,Mumbai,3 Months,"5,000 /month",19 Aug' 22
29,Bewakoof,Photography/Fashion Styling/Studio Management,Bangalore,3 Months,"10,000 /month",18 Aug' 22
30,Economic Times Edge,Human Resources (HR),Mumbai,3 Months,"5,000 /month",19 Aug' 22
31,Economic Times Edge,Business Development (Sales),Work From Home,3 Months,"5,000 /month",19 Aug' 22
32,Urban Company,Business Development (Sales),Raipur,3 Months,"12,000-15,000 /month",19 Aug' 22
33,WWF-India,Marketing,Delhi,6 Months,"15,000 /month",18 Aug' 22
34,DCB Bank,Human Resources (HR),Mumbai,3 Months,"7,000 /month",18 Aug' 22
35,Aam Aadmi Party,Office Operations,Delhi,2 Months,Unpaid,19 Aug' 22
36,NoBroker Technologies Solutions Private Limited,Business Development (Sales),Bangalore,6 Months,"15,000 /month",18 Aug' 22
37,Internshala,Corporate Sales,Gurgaon,6 Months,"20,000 /month",18 Aug' 22
38,Urban Company,Operations,Bangalore,3 Months,"20,000 /month",18 Aug' 22
39,Internshala,Proofreading & Client Interaction,Work From Home,6 Months,"16,667 /month",18 Aug' 22
40,BYJU'S The Learning App,Marketing,Kolkata,2 Months,"20,000 /month",17 Aug' 22
41,Disney Star,Film Production - Marketing,Kolkata,6 Months,"15,000 /month",17 Aug' 22
42,Economic Times,Business Development (Sales),Work From Home,6 Months,"7,000 /month",18 Aug' 22
43,Barista Cafe Academy,Digital Marketing,Thane,2 Months,"2,000 /month",17 Aug' 22
44,Magicbricks Realty Services Limited,Supply Chain Management (SCM),Bangalore,3 Months,"5,000 /month",17 Aug' 22
45,Nykaa Fashion,Operations,Mumbai,3 Months,"3,500 /month",17 Aug' 22
46,Fashion TV India,Business Development (Sales),Pune,6 Months,"3,000 /month",18 Aug' 22
47,Fashion TV India,Human Resources (HR),Pune,3 Months,"3,000 /month",18 Aug' 22
48,Urban Company,Business Development (Sales),Ahmedabad,2 Months,"20,000 /month",17 Aug' 22
49,LBB -  Little Black Book,VM Ops,Delhi,3 Months,"3,000 /month",17 Aug' 22
50,Fashion TV India,Photography,Pune,6 Months,"3,000 /month",18 Aug' 22
51,Disney Star,Distribution - Marketing,Kolkata,6 Months,"10,000-15,000 /month",17 Aug' 22
52,Monster India,General Management,Bangalore,2 Months,"12,000 /month",18 Aug' 22
53,Kansai Nerolac Paints Limited,Human Resources (HR),Mumbai,6 Months,"8,000 /month",18 Aug' 22
54,Monster India,Market Research,Bangalore,3 Months,"10,000-12,000 /month",17 Aug' 22
